Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse Image,Has Reverse Image,AI_Audited_Status
coin,Lincoln Cents,One Cent,1988,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1989,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1989,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1989,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1990,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1990,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1990,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1990,S,No S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1991,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1991,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1991,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1992,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1992,P,Close AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1992,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1992,D,Close AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1992,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1993,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1993,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1993,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1994,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1994,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1994,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1995,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1995,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1995,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1995,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1996,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1996,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1996,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1997,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1997,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1997,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1997,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1998,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1998,P,Wide AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1998,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1998,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1998,S,Close AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1999,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1999,P,Wide AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1999,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1999,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1999,S,Close AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2000,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2000,P,Wide AM,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2000,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2000,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2001,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2001,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2001,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2002,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2002,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2002,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2003,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2003,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2003,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2004,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2004,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2004,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2005,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2005,P,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2005,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2005,D,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2005,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2006,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2006,P,Satin Finish,Yes,Yes,Yes,Yes
