Count,Year,Mint,Denomination,Program/Series,Theme/Subject,Resolved_Program,Resolved_Subject,Best_Key_Tried
2,1819,,Capped Bust Silver Quarter,,,quarter,,1819_quarter
2,1820,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1820_kennedy-half-dollar
2,1823,,Dime,Capped Bust,,dime,,1823_dime
2,1824,,Capped Bust Silver Half Dollar,THE HALF DOLLAR CLUB SELECTION,Capped Bust,kennedy-half-dollar,,1824_kennedy-half-dollar
2,1824,,Dime,Capped Bust,4 Over 2,dime,,1824_dime
2,1825,,Capped Bust Silver Quarter,,,quarter,,1825_quarter
2,1829,,Nickel,Capped Bust,Capped Bust Liberty,nickel,,1829_nickel
2,1830,,Nickel,Capped Bust,Liberty,nickel,,1830_nickel
2,1832,,Nickel,Capped Bust,Liberty,nickel,,1832_nickel
2,1835,,Capped Bust Silver Quarter,,,quarter,,1835_quarter
2,1835,,Nickel,Capped Bust,Capped Bust Liberty,nickel,,1835_nickel
2,1840,,Nickel,,Stars and Drapery,nickel,,1840_nickel
2,1842,,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1842_kennedy-half-dollar
2,1846,,Dollar,Liberty Seated,Liberty Seated Silver Dollar,dollar,,1846_dollar
2,1846,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1846_cent
2,1853,,Dime,Liberty Seated Silver Dime,,dime,,1853_dime
2,1853,,Nickel,,Arrows,nickel,,1853_nickel
2,1853,,Quarter,Liberty Seated,"Liberty Seated, Arrows and Rays",quarter,,1853_quarter
2,1854,O,Quarter,Liberty Seated,"Liberty Seated, Arrows at Date",quarter,,1854_O_quarter
2,1856,,Dime,Liberty Seated Silver Dime,,dime,,1856_dime
2,1858,S,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1858_S_kennedy-half-dollar
2,1859,,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1859_kennedy-half-dollar
2,1861,O,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1861_O_kennedy-half-dollar
2,1863,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1863_quarter
2,1867,,Nickel,Shield Nickel,No Rays,nickel,,1867_nickel
2,1870,,Nickel,Shield Nickel,,nickel,,1870_nickel
2,1872,,Nickel,Shield Nickel,,nickel,,1872_nickel
2,1873,,Quarter,Liberty Seated,"Liberty Seated, Arrows at Date",quarter,,1873_quarter
2,1874,,Quarter,Liberty Seated,"Liberty Seated, Arrows at Date",quarter,,1874_quarter
2,1876,,Half Dollar,Liberty Seated,With Motto,kennedy-half-dollar,,1876_kennedy-half-dollar
2,1879,S,1 Dollar,Morgan Silver Dollars,Liberty Head,morgan-dollar,,1879_S_morgan-dollar
2,1879,,Quarter,Liberty Seated,"Liberty Seated, Arrows at Date",quarter,,1879_quarter
2,1881,CC,1 Dollar,Morgan Silver Dollars,Morgan Dollar,morgan-dollar,,1881_CC_morgan-dollar
2,1892,CC,1 Dollar,Morgan Silver Dollars,Morgan Dollar,morgan-dollar,,1892_CC_morgan-dollar
2,1892,S,Half Dollar,Barber,Liberty Head,barber,,1892_S_barber
2,1893,O,1 Dollar,Morgan Silver Dollars,Morgan Dollar,morgan-dollar,,1893_O_morgan-dollar
2,1893,O,Half Dollar,Barber,Liberty Head,barber,,1893_O_barber
2,1894,,Barber Dime,Barber,,barber,,1894_barber
2,1894,S,Dollar,Morgan Silver Dollar,"Liberty Head, Eagle",morgan-dollar,,1894_S_morgan-dollar
2,1896,S,Dollar,Morgan Silver Dollar,"Liberty Head, Eagle",morgan-dollar,,1896_S_morgan-dollar
2,1897,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1897_barber
2,1897,S,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1897_S_barber
2,1898,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1898_barber
2,1898,,Dollar,Morgan Silver Dollar,"Liberty Head, Eagle",morgan-dollar,,1898_morgan-dollar
2,1898,O,Half Dollar,Barber,Liberty Head,barber,,1898_O_barber
2,1898,S,Half Dollar,Barber,Liberty Head,barber,,1898_S_barber
2,1899,S,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1899_S_barber
2,1899,,Half Dollar,Barber,Liberty Head,barber,,1899_barber
2,1899,,Penny,Indian Head Cent,Indian Head,cent,,1899_cent
2,1900,O & CC,1,Morgan Silver Dollar,,morgan-dollar,,1900_O & CC_morgan-dollar
2,1900,,Penny,Indian Head Cent,Indian Head,cent,,1900_cent
2,1901,O,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1901_O_barber
2,1902,O,Dollar,Morgan Silver Dollar,"Liberty Head, Eagle",morgan-dollar,,1902_O_morgan-dollar
2,1902,S,Half Dollar,Barber,Liberty Head,barber,,1902_S_barber
2,1902,,Nickel,Liberty Head Nickel,Liberty Head,nickel,,1902_nickel
2,1904,O,Half Dollar,Barber,Liberty Head,barber,,1904_O_barber
2,1905,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1905_barber
2,1905,P,Barber Silver Dimes,Barber Dimes,Liberty Head,barber,,1905_P_barber
2,1905,Pending,Dime,Barber Series,Liberty Head,barber,,1905_PENDING_barber
2,1906,O,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1906_O_barber
2,1907,D,Half Dollar,Barber,Liberty Head,barber,,1907_D_barber
2,1908,S,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1908_S_barber
2,1908,,Half Dollar,Barber,Liberty Head,barber,,1908_barber
2,1908,,Penny,Indian Head Cent,Indian Head,cent,,1908_cent
2,1909,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1909_barber
2,1909,S,Half Dollar,Barber,Liberty Head,barber,,1909_S_barber
2,1910,D,Barber Silver Dimes,Barber Dimes,Liberty Head,barber,,1910_D_barber
2,1910,,Half Dollar,Barber,Liberty Head,barber,,1910_barber
2,1911,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1911_barber
2,1912,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1912_barber
2,1912,P,Barber Silver Dimes,Barber Dimes,Liberty Head,barber,,1912_P_barber
2,1912,Pending,Dime,Barber Series,Liberty Head,barber,,1912_PENDING_barber
2,1913,D,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1913_D_barber
2,1913,D,Penny,Lincoln Head Penny,Lincoln Head Penny,lincoln-cent,,1913_D_lincoln-cent
2,1914,,Half Dollar,Barber,Liberty Head,barber,,1914_barber
2,1915,,25 Cents,Barber Silver Quarters,Liberty Head,barber,,1915_barber
2,1915,D,Half Dollar,Barber,Liberty Head,barber,,1915_D_barber
2,1916,S,Barber Silver Dimes,Barber Dimes,Liberty Head,barber,,1916_S_barber
2,1916,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1916_S_lincoln-cent
2,1916,D,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1916_D_lincoln-cent
2,1917,S,Half Dollar,Liberty Walking Half Dollar,Liberty Walking,kennedy-half-dollar,,1917_S_kennedy-half-dollar
2,1917,D,Half Dollar,Liberty Walking Half Dollar,Liberty Walking,kennedy-half-dollar,,1917_D_kennedy-half-dollar
2,1917,D,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1917_D_lincoln-cent
2,1917,S,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1917_S_lincoln-cent
2,1917,D,Quarter,Standing Liberty Silver Quarter (Type 2),Standing Liberty,quarter,,1917_D_quarter
2,1918,S,Dime,Mercury Dime,Winged Liberty,mercury-dime,,1918_S_mercury-dime
2,1918,D,Roosevelt Dime,Mercury Dime,,mercury-dime,,1918_D_mercury-dime
2,1919,,Dime,Mercury,,mercury-dime,,1919_mercury-dime
2,1919,P,Half Dollar,Liberty Walking Half Dollar,Liberty Walking,kennedy-half-dollar,,1919_P_kennedy-half-dollar
2,1920,D,Dime,Mercury Dime,Winged Liberty,mercury-dime,,1920_D_mercury-dime
2,1920,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1920_S_lincoln-cent
