Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse,Has Reverse,Grok Verified
coin,Half Dollar,Half Dollar,,,½ Dollar (Pilgrim Tercentenary),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Stone Mountain Memorial),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Booker T. Washington Memorial),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (George Washington),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Statue of Liberty),Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Shield Nickel"" (without rays)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Walking Liberty Half Dollar""",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Indian Head Cent"" (without shield)",Yes,No,No,No
coin,Dollar,Three Cents,,,"3 Cents ""Trime"" (type 2 - two lines bordering star)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Buffalo Nickel"" (raised ground)",Yes,No,No,No
coin,Half Dollar,One Dollar,,,1 Dollar (Mount Rushmore),Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Seated Liberty Quarter"" (without motto)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (James Monroe),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (John Quincy Adams),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Andrew Jackson),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Martin Van Buren),Yes,No,No,No
coin,Dollar,Three Cents,,,"3 Cents ""Three Cent Nickel""",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Peace Dollar""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (District of Columbia)",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Barber Dime""",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Liberty Head"" (Type 1)",Yes,No,No,No
coin,Quarter,Two and a Half Dollars,,,"2½ Dollars ""Indian Head - Quarter Eagle""",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Hudson),Yes,No,No,No
coin,Quarter,Quarter Dollar,,,¼ Dollar - Kalākaua I,Yes,No,No,No
