original,new_file,attribution
SemiQ-Revolutionary-War-Reverse-Proof (1).jpg,attributed_SemiQ-Revolutionary-War-Reverse-Proof (1).jpg,United States Mint image
2023-american-eagle-platinum-one-ounce-bullion-coin-reverse.jpg,attributed_2023-american-eagle-platinum-one-ounce-bullion-coin-reverse.jpg,United States Mint image
American-Eagle-Silver-Proof-Privy-Obverse (1).jpg,attributed_American-Eagle-Silver-Proof-Privy-Obverse (1).jpg,United States Mint image
American-Eagle-Gold-Bullion-1oz-Obverse (1).jpg,attributed_American-Eagle-Gold-Bullion-1oz-Obverse (1).jpg,United States Mint image
Standing-Liberty-Gold-Reverse.jpg,attributed_Standing-Liberty-Gold-Reverse.jpg,United States Mint image
SemiQ-Revolutionary-War-Reverse-Proof.jpg,attributed_SemiQ-Revolutionary-War-Reverse-Proof.jpg,United States Mint image
2025-american-women-quarters-coin-vera-rubin-proof-reverse.jpg,attributed_2025-american-women-quarters-coin-vera-rubin-proof-reverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-clad-uncirculated-reverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-clad-uncirculated-reverse (1).jpg,United States Mint image
1804-dollar-gold-reverse (1).jpg,attributed_1804-dollar-gold-reverse (1).jpg,United States Mint image
2025-american-eagle-silver-proof-usmc-privy-obverse (1).jpg,attributed_2025-american-eagle-silver-proof-usmc-privy-obverse (1).jpg,United States Mint image
Omega-Penny-Reverse-Gold.jpg,attributed_Omega-Penny-Reverse-Gold.jpg,United States Mint image
American-Eagle-Gold-Bullion-1oz-Reverse (1).jpg,attributed_American-Eagle-Gold-Bullion-1oz-Reverse (1).jpg,United States Mint image
2025-native-american-one-dollar-proof-coin-reverse.jpg,attributed_2025-native-american-one-dollar-proof-coin-reverse.jpg,United States Mint image
SemiQ-Dime-Obverse-Unc-D.jpg,attributed_SemiQ-Dime-Obverse-Unc-D.jpg,United States Mint image
2025-american-eagle-platinum-proof-coin-reverse (1).jpg,attributed_2025-american-eagle-platinum-proof-coin-reverse (1).jpg,United States Mint image
2023-american-eagle-palladium-one-ounce-bullion-coin-obverse (1).jpg,attributed_2023-american-eagle-palladium-one-ounce-bullion-coin-obverse (1).jpg,United States Mint image
1907-saint-gaudens-semiq-gold-obverse (1).jpg,attributed_1907-saint-gaudens-semiq-gold-obverse (1).jpg,United States Mint image
2025-Batman-Gold-Proof-Coin-Obverse.jpg,attributed_2025-Batman-Gold-Proof-Coin-Obverse.jpg,United States Mint image
SemiQ-Mayflower-Reverse-Proof.jpg,attributed_SemiQ-Mayflower-Reverse-Proof.jpg,United States Mint image
